#{"t_start": 1771488591.514486, "env_id": "None"}
r,l,t
46.01338,48,0.677795
43.492511,43,0.67914
34.546563,31,0.798587
44.197364,45,0.8086
43.298756,42,0.821694
38.531368,35,0.829326
49.508683,54,0.839331
41.162423,38,0.845821
36.204772,27,0.850833
39.699931,35,0.859357
31.799143,22,0.86342
34.311721,24,0.867916
41.118868,36,0.874423
42.272092,39,0.881825
32.583132,20,0.885885
33.690842,25,0.890457
34.837594,27,0.896775
36.940397,31,0.902562
34.236294,23,0.907238
35.795337,28,0.913385
37.190404,28,0.918763
32.40156,19,0.922619
28.585538,16,0.927374
36.392432,30,0.933991
32.142552,22,0.938273
32.455373,21,0.943253
28.495391,16,0.946683
28.917691,15,0.949548
29.859615,17,0.953559
36.081939,27,0.958888
35.485411,27,0.964881
34.094097,23,0.969485
36.427694,27,0.975199
33.022783,22,0.980064
29.039494,15,0.983303
30.611647,17,0.986909
33.160822,22,0.992167
31.322383,19,0.996419
37.245437,32,1.002703
29.763814,15,1.005929
30.711076,17,1.009496
29.090409,15,1.013322
27.974567,12,1.01591
30.987338,18,1.020174
28.988925,15,1.023331
30.876132,18,1.027866
32.019191,21,1.032037
28.793876,14,1.035402
28.258936,14,1.038374
29.945498,15,1.04183
28.549018,14,1.04528
28.113443,14,1.048586
27.903394,12,1.051306
26.859433,11,1.054236
30.607397,17,1.058021
29.216375,14,1.06162
29.158767,15,1.064955
26.828604,10,1.067571
30.953758,17,1.071532
29.368573,15,1.075088
29.452591,15,1.080052
29.458452,16,1.083752
29.574121,15,1.087565
28.741665,14,1.090967
33.115185,22,1.096317
27.356524,11,1.099186
31.20419,18,1.102967
27.98341,14,1.106659
29.746617,15,1.111206
27.407399,11,1.113745
27.194651,11,1.116858
27.496274,11,1.119664
28.27259,13,1.123147
29.186832,15,1.126986
30.173627,18,1.131221
28.790631,14,1.13462
27.377411,11,1.137301
28.832382,14,1.140135
28.105168,13,1.144398
28.04639,12,1.147045
26.354542,10,1.149705
29.128883,14,1.152261
27.735622,12,1.155705
27.229986,12,1.158699
28.595495,14,1.163644
28.795128,15,1.167086
30.443199,17,1.170446
27.88201,12,1.173203
30.650916,16,1.177198
28.43561,13,1.180188
27.586711,12,1.182754
27.641975,12,1.185409
27.259347,11,1.188095
28.031396,13,1.190897
26.162237,9,1.193861
