#{"t_start": 1771443599.350961, "env_id": "None"}
r,l,t
221.961201,300,12.685894
224.851164,300,24.947204
218.556993,300,38.358608
229.060921,300,55.927306
215.56087,300,69.791715
222.17428,300,82.030942
213.950902,300,94.142895
229.642999,300,106.40955
216.398282,300,120.144877
220.114403,300,132.763263
215.848559,300,145.211215
220.369317,300,157.505376
226.753859,300,169.77497
213.63082,300,182.221809
224.59062,300,194.467775
223.972373,300,206.805107
223.861582,300,223.153335
211.584507,300,235.820592
219.677909,300,265.862808
221.831848,300,281.171955
222.111845,300,299.555524
216.940262,300,312.064541
225.678857,300,324.240423
216.582777,300,336.666874
221.546878,300,349.082071
225.7879,300,361.351025
215.357012,300,374.21159
237.25251,300,386.693897
223.614969,300,399.123689
221.348216,300,411.630335
219.310872,300,423.953378
223.196317,300,436.487083
229.684485,300,449.699527
214.718133,300,463.373007
224.168246,300,475.659494
224.944373,300,490.270606
224.132582,300,503.353534
211.744194,300,515.624317
219.934909,300,531.20334
224.349161,300,544.284796
223.814845,300,557.081897
217.361762,300,569.725131
225.240044,300,582.515383
217.236777,300,595.704346
223.151252,300,609.291705
225.6279,300,621.804389
215.581012,300,634.618847
235.938949,300,647.303441
225.846782,300,659.642236
223.172029,300,672.011076
219.128872,300,684.500097
222.638817,300,699.76048
231.957298,300,711.995844
217.128633,300,725.471655
226.583246,300,748.668523
227.661186,300,762.765699
229.238082,300,775.291743
216.286507,300,787.812505
222.670409,300,800.422814
223.340191,300,812.438289
226.886971,300,824.371668
219.361262,300,835.999775
226.985044,300,847.893029
217.489651,300,859.737069
225.307378,300,871.745716
228.250713,300,883.722218
216.120699,300,895.536536
233.999323,300,909.316447
224.745282,300,923.245296
220.627277,300,935.01453
216.861185,300,946.679192
222.561317,300,958.441611
229.847798,300,973.282073
217.269446,300,984.979649
225.577307,300,996.774875
229.007873,300,1010.498898
225.903582,300,1030.741092
212.861694,300,1051.533372
221.724909,300,1071.068385
226.815504,300,1087.599926
222.336845,300,1099.294057
217.215792,300,1110.911922
228.95317,300,1126.402741
219.057716,300,1138.696259
226.876878,300,1150.614168
227.847587,300,1162.285394
214.642012,300,1175.130455
241.684136,300,1194.434235
229.013782,300,1206.011061
225.483216,300,1217.885867
220.598998,300,1235.151789
226.037817,300,1250.994275
232.965485,300,1262.843006
217.568633,300,1274.757883
228.451559,300,1286.545268
226.307186,300,1301.989704
227.457082,300,1314.012963
215.367507,300,1325.825369
224.895909,300,1341.589474
224.072439,300,1353.412767
221.682532,300,1368.015531
221.057262,300,1388.368843
225.656044,300,1409.190804
217.80809,300,1424.712186
223.727378,300,1438.072529
229.734274,300,1449.786475
218.865885,300,1461.524326
240.744636,300,1481.623659
226.310095,300,1496.268806
226.729216,300,1508.303775
216.348685,300,1526.754699
224.163817,300,1544.015116
231.779298,300,1564.314792
218.712946,300,1584.708723
228.363433,300,1601.873789
226.709373,300,1613.832099
224.963395,300,1625.768588
217.101194,300,1643.070447
226.116909,300,1657.259452
226.227974,300,1675.582211
222.841158,300,1688.281296
219.358479,300,1707.332276
228.898357,300,1720.096165
219.89959,300,1734.289157
223.919878,300,1748.665982
225.803461,300,1764.487696
217.062199,300,1777.439254
239.221449,300,1792.760055
227.456595,300,1807.914512
225.286464,300,1819.600262
219.476059,300,1831.329902
226.379817,300,1843.610187
234.279798,300,1861.565298
214.924946,300,1881.756881
225.69012,300,1895.219865
222.672434,300,1909.816425
221.058582,300,1926.990958
210.777507,300,1940.026254
223.454096,300,1960.871151
225.037974,300,1978.099325
222.265658,300,1993.530871
216.843262,300,2011.887111
229.682857,300,2023.653242
220.460216,300,2041.919495
226.448565,300,2054.989426
226.1909,300,2070.792432
216.039699,300,2082.496791
237.623823,300,2098.86546
225.464156,300,2116.741874
224.029151,300,2130.916207
225.666998,300,2150.428632
228.331817,300,2162.245916
224.442546,300,2179.271733
219.561446,300,2200.270795
227.607246,300,2214.686497
229.373373,300,2234.543876
225.754895,300,2251.748114
217.352694,300,2265.943843
222.440409,300,2285.621814
227.766661,300,2300.161708
223.104532,300,2317.081205
220.237262,300,2334.429703
227.429357,300,2356.959752
220.999903,300,2370.155731
225.214565,300,2382.419181
229.027648,300,2402.787979
