#{"t_start": 1771446173.5338151, "env_id": "None"}
r,l,t
222.280888,300,13.285259
225.157977,300,26.370626
218.131806,300,42.454261
228.863421,300,58.656584
214.690557,300,70.845981
221.627093,300,82.375015
214.534902,300,94.027181
228.141125,300,105.724108
216.165282,300,117.102618
219.412777,300,128.612674
214.393872,300,140.129895
219.051317,300,151.908925
225.381672,300,163.644386
213.229446,300,175.19718
223.589059,300,186.75862
222.75706,300,198.288575
223.477582,300,209.788585
210.247694,300,221.435585
218.660596,300,233.51362
220.737378,300,245.298947
219.684658,300,257.161401
215.069262,300,268.836104
223.922044,300,281.345077
215.026216,300,292.94028
221.263878,300,304.832688
223.6844,300,316.552542
214.423572,300,328.437324
235.357449,300,340.234462
223.140469,300,351.808017
220.756464,300,363.510718
215.903559,300,375.138514
220.338317,300,386.871911
227.373859,300,398.596772
214.251133,300,410.394323
223.74212,300,422.042521
223.571247,300,433.644741
223.436269,300,445.354536
210.796007,300,457.100471
219.621096,300,469.156725
222.345878,300,480.850853
222.930845,300,492.537211
215.924449,300,504.080942
223.803357,300,515.72985
216.553903,300,527.840461
222.235065,300,539.740907
223.992587,300,551.363111
215.522885,300,563.077032
238.655449,300,574.724035
228.074095,300,586.449393
225.760403,300,598.189779
221.302685,300,610.105803
226.911317,300,622.00982
233.731985,300,634.170717
219.485133,300,646.013718
229.692746,300,657.641098
228.978186,300,669.334226
227.731082,300,681.014682
215.063507,300,692.843088
225.459096,300,704.680487
227.627474,300,716.337434
227.205345,300,727.986522
218.843292,300,739.732635
228.763044,300,751.51799
219.93209,300,763.290035
229.025378,300,775.286223
231.119713,300,787.373589
219.332512,300,799.365891
241.790136,300,811.236843
229.515095,300,823.067769
227.827029,300,835.275845
223.939498,300,847.053115
229.400817,300,858.694105
235.534298,300,870.436499
223.458946,300,882.250546
234.328059,300,893.853989
233.674873,300,905.771295
233.824708,300,917.441891
221.165007,300,929.147531
229.010909,300,940.795544
231.750474,300,952.508596
232.017471,300,964.155454
224.670262,300,975.712855
233.23417,300,987.321773
225.216216,300,998.962033
230.675378,300,1010.90844
233.725713,300,1022.496279
223.345325,300,1034.123885
244.729449,300,1045.688028
232.407595,300,1057.072161
229.616716,300,1068.762454
224.980185,300,1080.305489
229.373817,300,1091.83647
235.870798,300,1103.419389
221.868446,300,1115.046294
231.858559,300,1126.817902
230.37756,300,1138.538204
228.839582,300,1150.338269
217.206507,300,1161.934613
225.826596,300,1173.686647
227.933661,300,1185.2891
229.638032,300,1197.092291
223.098262,300,1208.664296
232.44017,300,1220.23007
223.817216,300,1231.71034
229.946378,300,1243.43179
232.717713,300,1255.118206
222.336512,300,1266.731849
244.000449,300,1278.404908
231.849595,300,1289.869851
229.406029,300,1301.476023
224.536185,300,1313.136142
228.283317,300,1324.804856
234.397798,300,1336.445064
219.883946,300,1348.013582
229.352433,300,1359.513764
229.21556,300,1371.186287
227.700895,300,1382.825987
214.835007,300,1394.829012
223.616409,300,1406.756624
226.734661,300,1418.789151
227.325158,300,1430.649687
221.674262,300,1442.408295
230.266357,300,1454.278434
220.85659,300,1466.096902
226.208565,300,1478.198551
229.120087,300,1490.008387
220.282325,300,1501.904288
239.990136,300,1513.792987
228.411095,300,1525.802869
227.537529,300,1537.658761
224.058998,300,1549.529885
228.310817,300,1561.575758
234.630798,300,1573.432244
221.088133,300,1585.331035
231.707246,300,1597.128434
230.788186,300,1608.938899
229.295708,300,1620.796108
216.481507,300,1632.600236
224.450409,300,1644.439298
227.603974,300,1656.38366
227.906971,300,1668.261977
222.312762,300,1680.089335
230.84817,300,1691.934495
221.924216,300,1703.539899
225.540378,300,1715.619401
229.265213,300,1727.487283
220.434825,300,1739.474557
239.893636,300,1751.693178
227.768095,300,1763.433534
225.602529,300,1775.366029
223.027498,300,1787.2023
228.442317,300,1799.091812
234.570298,300,1811.041308
221.663446,300,1822.922508
232.199059,300,1834.899901
232.034186,300,1846.754875
231.210708,300,1858.692175
219.212007,300,1870.550266
227.110909,300,1882.439787
228.051974,300,1901.407191
228.442971,300,1917.323613
223.743262,300,1929.168624
231.98017,300,1941.307319
223.46109,300,1953.061229
229.502878,300,1965.080551
231.2564,300,1977.024011
