#{"t_start": 1771442160.543128, "env_id": "None"}
r,l,t
41.03037,36,1.003704
41.905466,42,1.019054
48.349963,60,1.040455
48.527748,60,1.062044
41.540221,60,1.08655
36.919282,29,1.097135
41.636702,41,1.116834
48.135983,60,1.140815
35.398807,29,1.152617
37.041932,30,1.163555
40.331108,39,1.177026
35.655356,60,1.200963
49.376259,60,1.224796
46.622405,60,1.24612
37.940765,31,1.258033
40.776848,40,1.271893
42.418304,44,1.288706
48.347357,57,1.307881
37.985943,36,1.321102
45.487919,60,1.341065
47.597568,56,1.359182
44.960597,51,1.376278
44.118812,43,1.391482
50.788933,56,1.411417
41.99552,45,1.429032
43.163053,44,1.444917
40.549834,38,1.458305
45.593063,51,1.475978
42.301723,43,1.490752
40.060327,60,1.511029
42.456832,44,1.526669
45.570325,60,1.547066
37.113025,30,1.558283
51.751605,60,1.578992
46.417599,50,1.595491
46.801423,60,1.617516
48.713194,56,1.636342
44.014093,46,1.65237
42.623221,60,1.672743
43.426445,43,1.687544
48.852589,60,1.707958
47.971891,56,1.727061
