#{"t_start": 1771441502.716743, "env_id": "None"}
r,l,t
44.124906,60,1.621572
47.766637,52,1.647699
39.782387,38,1.799301
35.129274,29,1.812077
43.544296,45,1.828113
45.914335,46,1.913508
42.40689,39,1.92934
35.454689,29,1.942817
38.99949,39,1.959582
35.620447,27,2.051264
35.599648,29,2.066437
41.472989,39,2.08674
32.813468,25,2.107167
38.818972,31,2.234877
33.403926,22,2.254924
36.487783,31,2.281184
42.3853,37,2.312214
36.023517,30,2.453037
35.659124,25,2.470969
30.411622,19,2.484552
27.555992,11,2.492646
35.539115,27,2.50991
34.21355,26,2.526915
35.189784,25,2.635594
27.787163,12,2.64412
31.189202,19,2.654655
31.992383,18,2.666351
29.873944,17,2.677936
30.215499,17,2.687437
34.446678,23,2.701316
30.069661,15,2.802835
28.725386,14,2.813166
28.692518,13,2.820378
32.307004,18,2.832614
28.239517,14,2.840977
29.35993,14,2.847632
30.513634,18,2.856718
30.071802,17,2.867508
32.552535,22,2.967923
28.748199,14,2.976413
28.276652,12,2.982714
27.192952,11,2.989471
28.541501,13,2.997562
27.225716,11,3.003588
27.725231,11,3.011448
27.624501,11,3.018491
29.766582,15,3.028325
30.551189,17,3.03629
28.289598,13,3.145367
29.741096,15,3.154671
28.274219,12,3.162905
26.332947,10,3.169549
28.980335,13,3.178566
29.295787,15,3.188084
28.427849,14,3.197386
27.916955,12,3.204481
27.545592,11,3.212332
30.511429,15,3.220362
28.70943,13,3.32521
30.034735,15,3.333467
27.05507,11,3.340717
29.438808,13,3.34858
29.528311,14,3.357132
27.567509,11,3.362707
28.973031,13,3.368841
26.755745,10,3.376227
31.211437,17,3.384413
29.41132,15,3.479594
29.79211,14,3.488182
31.563371,19,3.499845
30.392129,16,3.510234
29.386537,15,3.517306
27.738328,12,3.523441
32.943925,20,3.534372
29.102017,14,3.542797
28.377882,12,3.548232
31.929969,18,3.643665
31.186713,19,3.65332
31.427843,17,3.663354
30.325514,16,3.672442
29.035708,14,3.680427
28.872698,13,3.687276
26.859056,11,3.694934
29.840034,15,3.702115
29.863808,16,3.802187
30.760406,17,3.813136
30.905824,16,3.821981
34.156815,21,3.834248
30.653632,16,3.843903
29.218338,14,3.852139
32.294089,19,3.864748
27.77653,12,3.870458
28.483456,13,3.967209
29.489964,14,3.974662
32.338968,19,3.985209
34.77031,22,3.999494
29.121734,14,4.009776
31.516249,17,4.01766
28.713008,12,4.024422
33.542986,21,4.035533
29.465209,14,4.133244
27.612649,11,4.141431
31.591368,17,4.149926
28.819072,13,4.157058
30.276274,15,4.165931
31.492448,18,4.176995
30.762204,16,4.184486
37.107286,26,4.199308
30.470791,16,4.303259
30.528509,15,4.31272
31.398185,17,4.324688
34.253081,22,4.338125
28.901033,13,4.347164
30.198065,15,4.355624
29.918426,14,4.364756
33.120075,20,4.477045
30.17431,15,4.485682
37.700655,29,4.503323
28.602024,12,4.511323
39.529171,30,4.530447
36.322012,24,4.544144
35.496378,23,4.652248
38.337069,27,4.668716
36.612757,25,4.682831
46.791459,39,4.70959
32.638868,19,4.718095
39.979886,30,4.835687
54.531626,51,4.865911
53.742282,50,4.89709
45.256215,37,5.246148
34.474656,20,5.285705
36.029131,23,5.324941
42.173015,32,5.362861
56.512417,53,5.97471
44.541616,36,6.100245
40.04058,29,6.150945
49.141371,42,6.291762
55.736075,60,6.321352
41.872234,33,6.336794
54.963199,50,6.432055
53.616579,49,6.452851
59.355463,60,6.548373
55.688467,60,6.57646
53.520348,60,6.600603
55.856231,60,6.681973
52.635091,52,6.700592
56.911178,60,6.778907
42.315606,35,6.791487
44.147669,36,6.802819
40.459672,34,6.868617
51.497785,52,6.886717
36.421354,24,6.895336
35.346274,25,6.903254
50.43202,44,6.96785
55.725136,60,6.98614
74.918456,60,7.054128
39.483309,30,7.064122
43.190326,35,7.075758
45.563092,37,7.144794
55.896511,54,7.163735
44.414937,36,7.178651
38.89333,28,7.196933
45.693263,39,7.292689
47.585706,45,7.308658
54.231901,60,7.39363
39.394256,29,7.405074
49.133569,44,7.423464
50.819406,47,7.442901
54.974923,60,7.535677
56.607085,60,7.564262
47.40107,60,7.669082
51.905737,60,7.694784
48.732682,43,7.767699
51.494231,51,7.785375
51.893546,60,7.863688
49.338716,60,7.884098
51.432846,49,7.901044
54.083767,60,7.980588
53.058736,60,8.000812
40.102862,32,8.069985
54.483586,60,8.092675
33.785472,21,8.099311
47.456258,60,8.196915
45.639626,60,8.226735
53.039378,60,8.350466
43.975569,60,8.382156
55.873218,60,8.491674
54.967847,60,8.516897
56.203881,60,8.621548
52.938557,60,8.651462
54.100926,54,8.678612
55.527697,60,8.783647
41.868494,33,8.797528
55.311135,60,8.898478
56.243634,60,8.926464
56.724898,60,9.039247
56.953286,60,9.071844
52.435877,60,9.101365
46.414647,60,9.214155
52.260256,60,9.241766
52.711483,60,9.343362
46.694947,60,9.370358
43.846151,60,9.477594
47.987184,60,9.504076
53.953895,60,9.604148
48.186242,60,9.630042
49.544418,60,9.729232
46.102695,60,9.752685
53.093128,60,9.85296
43.440563,60,9.879923
48.270883,60,9.9746
43.8769,60,9.998271
42.150719,60,10.095105
53.486749,60,10.118745
53.742808,60,10.142689
47.651434,60,10.249156
53.980795,60,10.285377
57.372251,58,10.445482
46.716858,60,10.491297
51.918671,60,10.634848
56.18449,60,10.66692
55.009702,60,10.774885
50.156675,45,10.79542
52.137935,60,10.887557
52.046672,47,10.906101
55.9014,52,10.927092
55.220599,54,11.006481
57.403496,60,11.029644
53.838259,60,11.110507
58.280568,55,11.131993
46.26651,37,11.146051
43.561097,33,11.221047
74.54952,60,11.246583
57.923714,57,11.3445
56.340096,55,11.37419
57.758468,58,11.40116
54.268494,60,11.512811
56.765626,60,11.543404
55.635029,60,11.652313
54.00011,60,11.678023
47.690976,60,11.778024
56.495063,60,11.806524
53.376518,60,11.917643
49.050382,60,11.945704
54.891161,60,12.050069
56.453562,60,12.078817
57.489931,60,12.179185
46.727589,38,12.194202
56.90343,60,12.216456
55.07377,60,12.31179
47.408779,60,12.33558
46.612526,38,12.420529
45.548689,36,12.435257
75.380682,60,12.460498
53.206514,49,12.54605
57.88655,60,12.574669
48.460295,41,12.659681
55.377899,60,12.683541
57.80991,57,12.708891
45.580678,60,12.800065
50.479293,60,12.826498
53.249549,49,12.916238
53.522935,60,12.941249
53.656262,60,13.038585
57.254146,55,13.062026
58.89133,58,13.154076
57.793401,55,13.17679
58.802157,59,13.200581
41.959905,31,13.274756
47.332297,40,13.291691
47.472464,39,13.308536
35.995302,24,13.382198
39.901434,28,13.394044
50.520358,44,13.41166
41.711088,31,13.423455
54.096274,60,13.504528
54.355275,51,13.521981
58.441242,60,13.6012
39.525863,29,13.611852
44.130503,35,13.624097
44.24745,34,13.635243
30.492567,15,13.6977
41.651315,30,13.709267
45.643966,36,13.721711
33.463817,19,13.728854
41.12491,30,13.738755
52.723368,46,13.814435
46.667791,38,13.828266
57.046197,54,13.900585
56.379851,53,13.91969
46.276756,37,13.932764
34.708497,21,13.940946
53.007618,48,14.016659
55.829139,60,14.03817
54.205809,51,14.115344
52.825609,47,14.132599
59.112041,60,14.153888
57.551318,60,14.236407
53.120823,60,14.258655
52.977016,60,14.33928
59.123821,58,14.361721
59.112024,58,14.443573
53.812324,51,14.461605
58.473857,60,14.551468
54.379757,51,14.57239
53.675393,60,14.675898
52.422527,47,14.715998
45.740357,36,14.74452
55.622757,60,15.072054
57.435723,60,15.110882
52.159103,60,15.243885
58.656166,60,15.273739
45.430665,36,15.29117
39.950576,29,15.375357
55.856887,60,15.401318
58.864632,55,15.424475
57.505867,60,15.516336
54.612192,60,15.539841
59.762855,60,15.629899
50.481178,43,15.64605
50.61175,60,15.737439
54.374896,48,15.758642
56.249499,60,15.783127
50.494187,43,15.86208
58.041016,60,15.886668
50.913065,60,15.985736
58.89624,55,16.013946
55.680758,60,16.099987
77.730023,60,16.125793
57.359174,60,16.227053
43.974523,34,16.241368
50.441825,43,16.257412
56.83494,52,16.345382
45.069674,35,16.360537
54.534165,49,16.380469
58.753774,60,16.481744
55.746755,60,16.507453
55.139701,49,16.597018
49.171761,41,16.615097
57.901445,60,16.640529
51.319096,60,16.735268
53.513591,47,16.753364
77.258033,60,16.845967
52.834652,60,16.87118
58.900531,60,16.966949
55.287699,60,16.993977
58.194837,55,17.114941
50.44623,44,17.14202
57.854158,60,17.187355
57.214613,60,17.340771
58.539942,54,17.390113
60.751542,60,17.572303
77.630603,60,17.615779
60.431337,57,17.792211
59.646158,56,17.844247
50.363053,43,17.883095
77.217747,60,18.039572
59.645384,60,18.090461
58.085426,60,18.22807
61.846762,59,18.251807
61.487868,58,18.329444
40.811557,29,18.338372
61.847725,59,18.358404
61.219822,58,18.429383
57.893356,60,18.44935
59.370353,57,18.526118
56.782081,52,18.543076
59.273812,60,18.608822
58.263875,60,18.626749
60.855324,59,18.6932
55.035597,60,18.711323
57.565379,60,18.728932
58.039019,60,18.799872
53.103084,60,18.819874
56.394296,52,18.889378
49.636122,42,18.902035
55.511605,50,18.968219
57.962487,54,18.98811
53.309821,60,19.009865
58.759396,56,19.082133
51.431063,44,19.098132
59.583311,60,19.170918
59.39637,60,19.192728
57.936599,53,19.265837
57.867241,56,19.28657
54.338452,48,19.303416
76.631693,60,19.380553
52.636012,60,19.40152
58.114545,54,19.487913
59.493576,60,19.517573
56.657301,60,19.626788
58.946267,60,19.655129
59.607611,60,19.761066
60.113532,58,19.787297
77.47295,60,19.878463
57.292149,60,19.901119
57.663648,54,19.921699
53.968883,48,20.005482
55.696681,51,20.027236
58.074199,60,20.115464
57.763736,53,20.137441
53.84337,60,20.226775
60.347576,58,20.251567
58.308789,55,20.276592
57.91852,60,20.365779
77.426189,60,20.390057
60.067195,60,20.481321
55.764675,60,20.504008
51.21457,60,20.595224
51.08774,60,20.617653
58.32183,55,20.701176
57.261461,60,20.726261
54.31127,48,20.805845
52.94334,46,20.824819
52.246719,45,20.842709
54.108385,48,20.931269
51.371888,44,20.949225
59.642022,57,20.974603
55.851708,51,21.062219
57.209768,60,21.085329
55.938437,51,21.173296
58.429487,54,21.19529
56.516298,52,21.215549
54.931518,50,21.303076
56.453747,51,21.322571
38.695214,26,21.332831
59.638981,56,21.424723
58.034954,60,21.448132
61.684591,59,21.543069
51.214155,44,21.560656
59.670988,60,21.653061
59.853641,60,21.678949
59.376766,57,21.763671
53.432281,47,21.783478
76.928891,60,21.808121
58.030549,54,21.896188
57.205969,60,21.919323
57.976675,54,22.01186
52.046943,45,22.028901
77.22339,60,22.130943
55.447311,60,22.158298
60.326245,60,22.182894
59.631869,56,22.276447
58.446909,54,22.297623
58.900049,55,22.391173
56.80137,52,22.413416
60.046934,60,22.505889
56.997096,60,22.529666
60.111208,57,22.620511
57.058324,52,22.641776
58.051912,60,22.666006
61.11528,59,22.764311
58.116589,54,22.787656
51.515158,60,22.892573
59.981646,56,22.916961
59.559866,60,23.015896
60.163457,60,23.040942
60.638968,58,23.136775
52.170947,45,23.157127
58.194539,54,23.179416
59.924802,57,23.280624
56.220802,51,23.299759
59.023545,56,23.387647
59.782715,60,23.412812
55.119272,60,23.526917
53.512429,60,23.557933
55.366713,60,23.66678
58.570786,60,23.696041
57.807083,56,23.722554
76.015715,60,23.827326
56.647177,53,23.850062
59.055986,60,23.948264
59.965308,57,23.973027
52.196146,60,24.078621
55.351955,60,24.108045
57.72728,60,24.213574
59.126952,60,24.242519
57.10715,60,24.491878
58.308106,55,24.523714
57.364411,53,24.552366
57.057259,53,24.653167
59.532137,60,24.68295
51.221093,44,24.787427
57.521753,53,24.816947
59.474868,56,24.953733
60.502139,60,24.988447
60.154854,56,25.017632
61.925505,59,25.15996
52.414317,45,25.187486
60.443872,60,25.321594
58.161214,54,25.3655
56.690672,60,25.516967
53.304475,60,25.553797
59.116643,55,25.58773
53.980487,60,25.714986
59.622816,60,25.744009
58.439927,60,25.862776
59.465628,60,25.89249
57.896763,60,26.005125
60.74202,57,26.037191
60.976813,58,26.163008
